cWed Feb  5 09:51:21 2020 [pid 2] CONNECT: Client "192.168.81.235"
Wed Feb  5 09:51:21 2020 [pid 2] FTP response: Client "192.168.81.235", "220 (vsFTPd 3.0.3)"
Wed Feb  5 09:52:43 2020 [pid 2] FTP command: Client "192.168.81.235", "USER crio-user"
Wed Feb  5 09:52:43 2020 [pid 2] [crio-user] FTP response: Client "192.168.81.235", "530 This FTP server is anonymous only."
Wed Feb  5 09:52:43 2020 [pid 2] FTP command: Client "192.168.81.235", "SYST"
Wed Feb  5 09:52:43 2020 [pid 2] FTP response: Client "192.168.81.235", "530 Please login with USER and PASS."
Wed Feb  5 09:54:38 2020 [pid 2] CONNECT: Client "192.168.81.235"
Wed Feb  5 09:54:38 2020 [pid 2] FTP response: Client "192.168.81.235", "220 (vsFTPd 3.0.3)"
Wed Feb  5 09:54:45 2020 [pid 2] FTP command: Client "192.168.81.235", "USER crio-user"
Wed Feb  5 09:54:45 2020 [pid 2] [crio-user] FTP response: Client "192.168.81.235", "331 Please specify the password."
Wed Feb  5 09:54:55 2020 [pid 2] [crio-user] FTP command: Client "192.168.81.235", "PASS <password>"
Wed Feb  5 09:54:55 2020 [pid 1] [crio-user] OK LOGIN: Client "192.168.81.235"
Wed Feb  5 09:54:55 2020 [pid 3] [crio-user] FTP response: Client "192.168.81.235", "230 Login successful."
Wed Feb  5 09:54:55 2020 [pid 3] [crio-user] FTP command: Client "192.168.81.235", "SYST"
Wed Feb  5 09:54:55 2020 [pid 3] [crio-user] FTP response: Client "192.168.81.235", "215 UNIX Type: L8"
Wed Feb  5 10:06:49 2020 [pid 2] CONNECT: Client "192.168.8.240"
Wed Feb  5 10:06:49 2020 [pid 2] FTP response: Client "192.168.8.240", "220 (vsFTPd 3.0.3)"
Wed Feb  5 10:06:58 2020 [pid 2] FTP command: Client "192.168.8.240", "USER crio-user"
Wed Feb  5 10:06:58 2020 [pid 2] [crio-user] FTP response: Client "192.168.8.240", "331 Please specify the password."
Wed Feb  5 10:07:09 2020 [pid 2] [crio-user] FTP command: Client "192.168.8.240", "PASS <password>"
Wed Feb  5 10:07:09 2020 [pid 1] [crio-user] OK LOGIN: Client "192.168.8.240"
Wed Feb  5 10:07:09 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "230 Login successful."
Wed Feb  5 10:07:09 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "SYST"
Wed Feb  5 10:07:09 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "215 UNIX Type: L8"
Wed Feb  5 10:07:25 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PWD"
Wed Feb  5 10:07:25 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "257 "/home/crio-user" is the current directory"
Wed Feb  5 10:12:11 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,135,217"
Wed Feb  5 10:12:11 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:12:11 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:12:11 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:12:11 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:12:46 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PWD"
Wed Feb  5 10:12:46 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "257 "/home/crio-user" is the current directory"
